decil,LYC,SERV
0.0,220.0,Nacional
5.0,375.0,Nacional
10.0,400.0,Nacional
15.0,417.0,Nacional
20.0,432.0,Nacional
25.0,446.0,Nacional
30.0,459.0,Nacional
35.0,472.0,Nacional
40.0,485.0,Nacional
45.0,497.0,Nacional
50.0,510.0,Nacional
55.0,523.0,Nacional
60.0,538.0,Nacional
65.0,552.0,Nacional
70.0,568.0,Nacional
75.0,585.0,Nacional
80.0,603.0,Nacional
85.0,626.0,Nacional
90.0,653.0,Nacional
95.0,693.0,Nacional
100.0,800.0,Nacional
0.0,261.0,Comunitaria
5.0,337.4,Comunitaria
10.0,352.8,Comunitaria
15.0,363.0,Comunitaria
20.0,382.0,Comunitaria
25.0,390.0,Comunitaria
30.0,402.0,Comunitaria
35.0,412.0,Comunitaria
40.0,418.0,Comunitaria
45.0,426.0,Comunitaria
50.0,437.0,Comunitaria
55.0,450.0,Comunitaria
60.0,459.0,Comunitaria
65.0,471.0,Comunitaria
70.0,483.0,Comunitaria
75.0,495.0,Comunitaria
80.0,510.0,Comunitaria
85.0,523.0,Comunitaria
90.0,545.0,Comunitaria
95.0,578.6,Comunitaria
100.0,747.0,Comunitaria
0.0,220.0,General Pública
5.0,376.0,General Pública
10.0,399.0,General Pública
15.0,416.0,General Pública
20.0,430.0,General Pública
25.0,443.0,General Pública
30.0,455.0,General Pública
35.0,467.0,General Pública
40.0,479.0,General Pública
45.0,490.0,General Pública
50.0,502.0,General Pública
55.0,514.0,General Pública
60.0,527.0,General Pública
65.0,541.0,General Pública
70.0,555.0,General Pública
75.0,570.0,General Pública
80.0,588.0,General Pública
85.0,608.0,General Pública
90.0,634.0,General Pública
95.0,672.0,General Pública
100.0,800.0,General Pública
0.0,291.0,Privada
5.0,453.0,Privada
10.0,485.0,Privada
15.0,507.0,Privada
20.0,526.0,Privada
25.0,542.0,Privada
30.0,557.0,Privada
35.0,571.0,Privada
40.0,583.0,Privada
45.0,595.0,Privada
50.0,608.0,Privada
55.0,621.0,Privada
60.0,634.0,Privada
65.0,645.0,Privada
70.0,659.0,Privada
75.0,673.0,Privada
80.0,690.0,Privada
85.0,708.0,Privada
90.0,728.0,Privada
95.0,758.0,Privada
100.0,800.0,Privada
0.0,260.0,Indígena
5.0,338.0,Indígena
10.0,356.0,Indígena
15.0,370.0,Indígena
20.0,381.0,Indígena
25.0,391.0,Indígena
30.0,401.0,Indígena
35.0,411.0,Indígena
40.0,420.0,Indígena
45.0,430.0,Indígena
50.0,440.0,Indígena
55.0,450.5500000000002,Indígena
60.0,461.0,Indígena
65.0,473.0,Indígena
70.0,486.0,Indígena
75.0,500.0,Indígena
80.0,514.0,Indígena
85.0,537.0,Indígena
90.0,562.0,Indígena
95.0,598.0,Indígena
100.0,750.0,Indígena
