decil,MAT,SERV
0.0,200.0,Nacional
1.0,286.0,Nacional
2.0,317.0,Nacional
3.0,331.0,Nacional
4.0,342.0,Nacional
5.0,350.0,Nacional
6.0,358.0,Nacional
7.0,364.0,Nacional
8.0,369.0,Nacional
9.0,374.0,Nacional
10.0,379.0,Nacional
11.0,383.0,Nacional
12.0,387.0,Nacional
13.0,391.0,Nacional
14.0,395.0,Nacional
15.0,398.0,Nacional
16.0,401.0,Nacional
17.0,405.0,Nacional
18.0,408.0,Nacional
19.0,411.0,Nacional
20.0,414.0,Nacional
21.0,417.0,Nacional
22.0,420.0,Nacional
23.0,423.0,Nacional
24.0,426.0,Nacional
25.0,429.0,Nacional
26.0,431.0,Nacional
27.0,434.0,Nacional
28.0,436.0,Nacional
29.0,439.0,Nacional
30.0,442.0,Nacional
31.0,444.0,Nacional
32.0,447.0,Nacional
33.0,450.0,Nacional
34.0,452.0,Nacional
35.0,455.0,Nacional
36.0,458.0,Nacional
37.0,460.0,Nacional
38.0,463.0,Nacional
39.0,466.0,Nacional
40.0,468.0,Nacional
41.0,471.0,Nacional
42.0,473.0,Nacional
43.0,476.0,Nacional
44.0,479.0,Nacional
45.0,481.0,Nacional
46.0,484.0,Nacional
47.0,487.0,Nacional
48.0,490.0,Nacional
49.0,492.0,Nacional
50.0,495.0,Nacional
51.0,498.0,Nacional
52.0,501.0,Nacional
53.0,504.0,Nacional
54.0,507.0,Nacional
55.0,509.0,Nacional
56.0,512.0,Nacional
57.0,515.0,Nacional
58.0,518.0,Nacional
59.0,522.0,Nacional
60.0,525.0,Nacional
61.0,528.0,Nacional
62.0,531.0,Nacional
63.0,534.0,Nacional
64.0,538.0,Nacional
65.0,541.0,Nacional
66.0,544.0,Nacional
67.0,548.0,Nacional
68.0,552.0,Nacional
69.0,555.0,Nacional
70.0,559.0,Nacional
71.0,563.0,Nacional
72.0,567.0,Nacional
73.0,572.0,Nacional
74.0,576.0,Nacional
75.0,580.0,Nacional
76.0,585.0,Nacional
77.0,590.0,Nacional
78.0,595.0,Nacional
79.0,599.0,Nacional
80.0,604.0,Nacional
81.0,609.0,Nacional
82.0,615.0,Nacional
83.0,621.0,Nacional
84.0,627.0,Nacional
85.0,633.0,Nacional
86.0,640.0,Nacional
87.0,647.0,Nacional
88.0,655.0,Nacional
89.0,662.0,Nacional
90.0,671.0,Nacional
91.0,680.0,Nacional
92.0,690.0,Nacional
93.0,701.0,Nacional
94.0,712.0,Nacional
95.0,725.0,Nacional
96.0,741.0,Nacional
97.0,759.0,Nacional
98.0,781.0,Nacional
99.0,800.0,Nacional
0.0,200.0,General Pública
1.0,287.0,General Pública
2.0,318.0,General Pública
3.0,331.0,General Pública
4.0,342.0,General Pública
5.0,350.0,General Pública
6.0,356.1199999999999,General Pública
7.0,363.0,General Pública
8.0,368.0,General Pública
9.0,373.0,General Pública
10.0,377.0,General Pública
11.0,381.0,General Pública
12.0,385.0,General Pública
13.0,388.0,General Pública
14.0,392.0,General Pública
15.0,395.0,General Pública
16.0,399.0,General Pública
17.0,402.0,General Pública
18.0,405.0,General Pública
19.0,408.0,General Pública
20.0,410.0,General Pública
21.0,413.0,General Pública
22.0,416.0,General Pública
23.0,418.0,General Pública
